name,age,,,,,,,,,,
ABC,10,,,,,,,,,,
PQR,20,,,,,,,,,,
Hello,30,,,,,,,,,,
Turing,40,,,,,,,,,,
Fitting,10,,,,,,,,,,
Einstien,3500000,,,,,,,,,,
Manual,45,,,,,,,,,,
Anil,55,,,,,,,,,,
Madhuri,45,,,,,,,,,,
Aishwarya,45,,,,,,,,,,
Ranbir,10,,,,,,,,,,
Anuska,45,,,,,,,,,,
Ranvir,50,,,,,,,,,,
Deepika ,55,,,,,,,,,,
ABCsad,10,,,,,,,,,,
PQRsda,20,,,,,,,,,,
Hello,30,,,,,,,,,,
Team,40,,,,,,,,,,
Fit,10,,,,,,,,,,
Eins,3500000,,,,,,,,,,
Man,45,,,,,,,,,,
Anil,55,,,,,,,,,,
Mad,45,,,,,,,,,,
Aishw,45,,,,,,,,,,
Ran,10,,,,,,,,,,
Anu,45,,,,,,,,,,
Ranva,50,,,,,,,,,,
Deep ,55,,,,,,,,,,
